"","x"
"C2orf88",-0.0594539592139088
"RPS12",0.151795917294648
"TFPI2",0.025247009420668
"TCEAL9",-0.155155041927502
"RPL12",0.0125681802856759
"PCBP2",-0.0117952261038328
"TSC22D1",0.0630411288864496
"ACSM3",-0.118664027501724
"RPL23",0.122256766991756
"JPT1",-0.0509904489106218
"ANGPTL4",0.0535971109590112
"LDLR",0.116752180312678
"TRABD",0.00935512648524693
"DGKZ",0.0573710217137233
"GZMB",-0.0310865544527973
"SLAMF7",-0.106932572773762
"IGLC3",-0.0218089052322248
"STK10",0.073611370696874
"FXYD5",2.85528159749754e-05
"AAK1",0.106830548868034
